school_district,lat,lon,zoom
1,40.722,73.984,640000
2,40.735,73.984,175000
3,40.790,73.967,350000
4,40.793,73.935,600000
5,40.8182,73.945,500000
6,40.847,73.935,300000
7,40.81,73.905,350000
8,40.823,73.85,210000
9,40.8385,73.915,575000
10,40.878,73.89,250000
11,40.87,73.82,225000
12,40.836,73.881,525000
13,40.69,73.97,335000
14,40.714,73.95,355000
15,40.665,73.995,295000
16,40.6835,73.93,625000
17,40.663,73.95,375000
18,40.618,73.90,210000
19,40.65,73.87,190000
20,40.625,74.01,300000
21,40.60,73.98,290000
22,40.615,73.93,230000
23,40.67,73.91,550000
24,40.72,73.89,225000
25,40.758,73.814,210000
26,40.747,73.753,230000
27,40.6265,73.835,115000
28,40.705,73.82,200000
29,40.685,73.755,175000
30,40.76,73.91,225000
31,40.58,74.15,115000
32,40.695,73.92,575000
